Pick,Owner,QB Rank,WR Rank,RB Rank,TE Rank,Starting Priority,Max Tier Remaining,"Optimal
Pick 1","Optimal
Pick 2","Optimal
Pick 3","Optimal
Pick 4",SELECTION,POSITION,TEAM
1.01,Joe,2.4,1.2,2.3,4.1,"TE, QB, RB, WR",Tier 18,TE18,QB18,RB18,WR18,Bijan Robinson,RB,ATL
1.02,Joe,2.4,1.2,2.3,4.1,"TE, QB, RB, WR",Tier 18,TE18,QB18,RB18,WR18,Anthony Richardson,QB,IND
1.03,Ricky,11.4,8.2,10.3,11.1,"QB, TE, RB, WR",Tier 18,QB18,TE18,RB18,WR18,Jahmyr Gibbs,RB,DET
1.04,Alex,8.4,11.2,12.3,8.1,"RB, WR, QB, TE",Tier 18,RB18,WR18,QB18,TE18,CJ Stroud,QB,HOU
1.05,Jordan,5.4,7.2,4.3,6.1,"WR, TE, QB, RB",Tier 18,WR18,TE18,QB18,RB18,Jordan Addison,WR,MIN
1.06,Luc,9.4,6.2,6.3,3.1,"QB, RB, WR, TE",Tier 18,QB18,RB18,WR18,TE18,Bryce Young,QB,CAR
1.07,James,3.4,3.2,3.3,2.1,"QB, RB, WR, TE",Tier 18,QB18,RB18,WR18,TE18,Jaxon Smith-Njigba,WR,SEA
1.08,Joe,2.4,1.2,2.3,4.1,"TE, QB, RB, WR",Tier 18,TE18,QB18,RB18,WR18,Zay Flowers,WR,BAL
1.09,James,3.4,3.2,3.3,2.1,"QB, RB, WR, TE",Tier 18,QB18,RB18,WR18,TE18,Puka Nacua,WR,LAR
1.10,Matt,10.4,10.2,9.3,10.1,"QB, WR, TE, RB",Tier 18,QB18,WR18,TE18,RB18,Quentin Johnston,WR,LAC
1.11,Alex,8.4,11.2,12.3,8.1,"RB, WR, QB, TE",Tier 18,RB18,WR18,QB18,TE18,Sam LaPorta,TE,DET
1.12,Jordan,5.4,7.2,4.3,6.1,"WR, TE, QB, RB",Tier 18,WR18,TE18,QB18,RB18,Dalton Kincaid,TE,BUF
1.13,Matt,10.4,10.2,9.3,10.1,"QB, WR, TE, RB",Tier 18,QB18,WR18,TE18,RB18,Roschon Johnson,RB,CHI
2.01,Matt,10.4,10.2,9.3,10.1,"QB, WR, TE, RB",Tier 18,QB18,WR18,TE18,RB18,Zach Charbonnet,RB,SEA
2.02,James,3.4,3.2,3.3,2.1,"QB, RB, WR, TE",Tier 18,QB18,RB18,WR18,TE18,Marvin Mims,WR,DEN
2.03,Jordan,5.4,7.2,4.3,6.1,"WR, TE, QB, RB",Tier 18,WR18,TE18,QB18,RB18,Jayden Reed,WR,GBP
2.04,Jordan,5.4,7.2,4.3,6.1,"WR, TE, QB, RB",Tier 18,WR18,TE18,QB18,RB18,Jonathan Mingo,WR,CAR
2.05,Matt,10.4,10.2,9.3,10.1,"QB, WR, TE, RB",Tier 18,QB18,WR18,TE18,RB18,Rashee Rice,WR,KCC
2.06,Luc,9.4,6.2,6.3,3.1,"QB, RB, WR, TE",Tier 18,QB18,RB18,WR18,TE18,Tyjae Spears,RB,TEN
2.07,James,3.4,3.2,3.3,2.1,"QB, RB, WR, TE",Tier 18,QB18,RB18,WR18,TE18,Luke Musgrave,TE,GBP
2.08,Matt,10.4,10.2,9.3,10.1,"QB, WR, TE, RB",Tier 18,QB18,WR18,TE18,RB18,Nathaniel Dell,WR,HOU
2.09,James,3.4,3.2,3.3,2.1,"QB, RB, WR, TE",Tier 18,QB18,RB18,WR18,TE18,Michael Mayer,TE,LVR
2.10,Lucas,1.4,2.2,1.3,1.1,"WR, QB, RB, TE",Tier 18,WR18,QB18,RB18,TE18,Andrei Iosivas,WR,CIN
2.11,Jeremy,6.4,5.2,7.3,5.1,"RB, QB, WR, TE",Tier 18,RB18,QB18,WR18,TE18,Jalin Hyatt,WR,NYG
2.12,Matt,10.4,10.2,9.3,10.1,"QB, WR, TE, RB",Tier 18,QB18,WR18,TE18,RB18,Josh Downs,WR,IND
2.13,Alex,8.4,11.2,12.3,8.1,"RB, WR, QB, TE",Tier 18,RB18,WR18,QB18,TE18,Devon Achane,RB,MIA
3.01,Lucas,1.4,2.2,1.3,1.1,"WR, QB, RB, TE",Tier 18,WR18,QB18,RB18,TE18,Tank Bigsby,RB,JAC
