Roster ID,Division,Team
1,Kings,lalder
2,Knights,Twest1
3,Kings,Schoontang
4,Jokers,SnackDaddy2907
5,Kings,jwalwer81
6,Knights,aintEZBNwheezE
7,Jokers,Rickythemer
8,Knights,jalder64
9,Kings,LucDart
10,Jokers,Delusional1
11,Jokers,iisstupids
12,Knights,mlthomas5095
