Team,Year 1 Fines,Year 2 Fines,Year 3 Fines,Year 4 Fines
lalder,0,0,0,0
lancebyrd21,0,0,0,0
Schoontang,0,0,0,0
tylercrain,0,0,0,0
jwalwer81,0,0,0,0
Delusional1,0,0,0,0
mlthomas5095,10,10,0,0
Chewy2552,0,0,0,0
Vikingsfan80,0,0,0,0
JoshStorm,0,0,0,0
EthanL21,0,0,0,0
aintEZBNwheezE,0,0,0,0
